,winner,idMatch,pick1,winratepick1,mmrplayer1,pick2,winratepick2,mmrplayer2,pick3,winratepick3,mmrplayer3,pick4,winratepick4,mmrplayer4,pick5,winratepick5,mmrplayer5,pick6,winratepick6,mmrplayer6,pick7,winratepick7,mmrplayer7,pick8,winratepick8,mmrplayer8,pick9,winratepick9,mmrplayer9,pick10,winratepick10,mmrplayer10
15,Radiant,7108399394,43,0.5069,80,86,0.4871,0,110,0.4769,80,1,0.4769,80,137,0.478,0,9,0.5032,80,49,0.4291,80,38,0.4791,80,35,0.4447,80,58,0.4366,80
16,Radiant,7108396296,9,0.5032,0,43,0.5069,80,137,0.478,80,62,0.5393,0,109,0.4731,0,86,0.4871,0,38,0.4791,0,58,0.4366,0,10,0.4552,0,17,0.4825,0
17,Dire,7108393736,86,0.4871,80,96,0.477,80,64,0.508,80,69,0.4668,80,13,0.483,80,87,0.4985,80,98,0.4815,80,109,0.4731,80,51,0.476,80,36,0.4872,80
18,Radiant,7108389630,86,0.4871,0,74,0.4702,0,71,0.5155,0,42,0.4442,0,23,0.5076,0,90,0.4996,0,31,0.5104,0,75,0.5201,0,19,0.4524,0,41,0.4934,0
19,Radiant,7108306227,69,0.4668,80,85,0.5333,80,120,0.5021,80,119,0.4978,0,44,0.4469,80,87,0.4985,0,1,0.4769,80,91,0.4988,0,17,0.4825,80,33,0.4916,0
20,Dire,7108299098,85,0.5333,80,74,0.4702,80,18,0.5174,80,9,0.5032,0,38,0.4791,80,53,0.3884,80,51,0.476,80,87,0.4985,80,70,0.4654,80,120,0.5021,80
21,Dire,7108293489,128,0.4633,80,19,0.4524,80,69,0.4668,80,46,0.4813,80,13,0.483,80,87,0.4985,80,109,0.4731,80,51,0.476,80,96,0.477,80,52,0.4611,80
22,Dire,7108272061,1,0.4769,80,64,0.508,80,119,0.4978,80,137,0.478,0,39,0.5105,80,61,0.4745,0,123,0.4535,80,93,0.5257,80,85,0.5333,80,19,0.4524,80
23,Radiant,7108263730,45,0.5187,0,62,0.5393,0,32,0.5282,0,80,0.4943,80,47,0.4961,0,58,0.4366,0,71,0.5155,0,87,0.4985,80,51,0.476,0,67,0.4781,80
24,Dire,7108258623,111,0.5348,0,19,0.4524,0,106,0.4986,0,7,0.4996,0,128,0.4633,0,71,0.5155,0,72,0.465,0,21,0.5318,0,56,0.5183,0,100,0.4532,0
25,Dire,7108193697,1,0.4769,0,85,0.5333,0,9,0.5032,80,123,0.4535,80,21,0.5318,0,58,0.4366,0,70,0.4654,0,77,0.4987,0,105,0.5084,80,32,0.5282,0
26,Radiant,7108189493,69,0.4668,0,110,0.4769,80,87,0.4985,80,109,0.4731,80,49,0.4291,80,86,0.4871,80,92,0.4987,80,137,0.478,80,75,0.5201,80,67,0.4781,80
27,Radiant,7108183505,91,0.4988,0,87,0.4985,0,11,0.47,0,97,0.4886,0,61,0.4745,0,9,0.5032,0,45,0.5187,0,28,0.4639,0,20,0.4463,0,52,0.4611,0
28,Dire,7108181251,69,0.4668,80,85,0.5333,80,79,0.4948,80,71,0.5155,0,54,0.4602,80,87,0.4985,0,1,0.4769,80,86,0.4871,0,120,0.5021,80,108,0.5067,0
29,Dire,7108178256,69,0.4668,80,119,0.4978,80,87,0.4985,80,28,0.4639,80,95,0.4754,80,85,0.5333,80,74,0.4702,80,1,0.4769,80,123,0.4535,0,104,0.5435,80
30,Radiant,7108159996,1,0.4769,80,64,0.508,80,119,0.4978,80,49,0.4291,0,40,0.5192,80,61,0.4745,0,87,0.4985,80,51,0.476,80,32,0.5282,80,114,0.488,80
31,Radiant,7108131533,5,0.5139,0,101,0.5195,0,104,0.5435,0,106,0.4986,0,46,0.4813,0,96,0.477,0,86,0.4871,0,75,0.5201,0,95,0.4754,0,74,0.4702,0
32,Dire,7108130205,45,0.5187,0,28,0.4639,0,71,0.5155,0,63,0.4855,0,106,0.4986,0,135,0.5041,0,20,0.4463,0,91,0.4988,0,11,0.47,0,69,0.4668,0
33,Dire,7108108199,123,0.4535,0,9,0.5032,0,96,0.477,0,105,0.5084,72,114,0.488,0,86,0.4871,0,1,0.4769,0,135,0.5041,0,85,0.5333,80,129,0.4292,0
34,Dire,7108107553,86,0.4871,0,69,0.4668,80,58,0.4366,80,65,0.5134,80,102,0.5033,80,114,0.488,80,92,0.4987,80,137,0.478,80,5,0.5139,80,70,0.4654,80
35,Dire,7108089461,69,0.4668,80,106,0.4986,80,128,0.4633,80,87,0.4985,80,14,0.4912,80,74,0.4702,80,85,0.5333,80,119,0.4978,80,10,0.4552,80,51,0.476,0
36,Dire,7108078459,87,0.4985,0,101,0.5195,0,81,0.4813,0,42,0.4442,0,106,0.4986,0,5,0.5139,0,11,0.47,0,114,0.488,0,71,0.5155,0,49,0.4291,0
37,Radiant,7108073860,106,0.4986,0,9,0.5032,80,62,0.5393,80,6,0.479,80,40,0.5192,80,87,0.4985,80,77,0.4987,80,43,0.5069,80,119,0.4978,0,70,0.4654,80
38,Dire,7108061130,64,0.508,0,91,0.4988,0,99,0.4467,0,67,0.4781,0,92,0.4987,0,31,0.5104,0,20,0.4463,0,14,0.4912,0,28,0.4639,0,46,0.4813,0
39,Radiant,7108024996,61,0.4745,0,87,0.4985,0,123,0.4535,0,53,0.3884,80,38,0.4791,0,86,0.4871,0,114,0.488,0,64,0.508,0,32,0.5282,0,89,0.5447,0
40,Dire,7108016508,85,0.5333,0,69,0.4668,0,32,0.5282,0,22,0.4587,0,12,0.5014,0,87,0.4985,0,86,0.4871,0,71,0.5155,0,46,0.4813,0,13,0.483,0
41,Radiant,7107443140,19,0.4524,80,9,0.5032,80,83,0.5051,80,93,0.5257,80,120,0.5021,80,58,0.4366,80,38,0.4791,80,137,0.478,80,49,0.4291,80,81,0.4813,80
42,Dire,7107432346,100,0.4532,80,43,0.5069,80,58,0.4366,80,108,0.5067,80,12,0.5014,80,114,0.488,80,109,0.4731,0,52,0.4611,80,51,0.476,0,39,0.5105,80
43,Radiant,7107429125,58,0.4366,0,49,0.4291,0,87,0.4985,0,59,0.5025,0,23,0.5076,0,86,0.4871,0,29,0.4706,0,9,0.5032,0,77,0.4987,0,100,0.4532,0
44,Radiant,7107412596,64,0.508,80,49,0.4291,0,123,0.4535,63,19,0.4524,80,95,0.4754,0,53,0.3884,80,105,0.5084,73,72,0.465,54,17,0.4825,0,70,0.4654,80
45,Dire,7107391072,64,0.508,0,29,0.4706,0,100,0.4532,0,56,0.5183,0,86,0.4871,0,87,0.4985,0,96,0.477,0,14,0.4912,0,128,0.4633,0,19,0.4524,0
46,Dire,7107381422,58,0.4366,80,52,0.4611,80,100,0.4532,80,54,0.4602,80,76,0.492,80,106,0.4986,80,9,0.5032,80,85,0.5333,80,43,0.5069,80,93,0.5257,80
47,Dire,7107367164,58,0.4366,80,33,0.4916,54,14,0.4912,0,17,0.4825,80,1,0.4769,73,9,0.5032,0,49,0.4291,80,5,0.5139,63,120,0.5021,80,44,0.4469,0
48,Dire,7107349124,123,0.4535,0,9,0.5032,0,33,0.4916,0,95,0.4754,0,52,0.4611,0,30,0.4677,0,86,0.4871,0,49,0.4291,0,12,0.5014,0,106,0.4986,0
49,Radiant,7107348826,100,0.4532,80,120,0.5021,80,58,0.4366,80,109,0.4731,0,17,0.4825,80,43,0.5069,80,106,0.4986,80,136,0.4949,80,31,0.5104,80,114,0.488,80
50,Radiant,7107328578,30,0.4677,0,86,0.4871,0,49,0.4291,0,12,0.5014,0,106,0.4986,0,123,0.4535,0,9,0.5032,0,33,0.4916,0,95,0.4754,0,52,0.4611,0
51,Dire,7107315978,87,0.4985,80,33,0.4916,0,107,0.4963,63,70,0.4654,80,34,0.5423,0,85,0.5333,80,105,0.5084,73,11,0.47,80,104,0.5435,0,17,0.4825,54
52,Dire,7107310732,87,0.4985,0,53,0.3884,80,120,0.5021,0,85,0.5333,80,11,0.47,0,100,0.4532,80,43,0.5069,80,64,0.508,80,137,0.478,80,12,0.5014,80
53,Dire,7107275897,86,0.4871,0,9,0.5032,0,104,0.5435,0,106,0.4986,0,17,0.4825,0,121,0.4826,0,75,0.5201,0,70,0.4654,0,97,0.4886,0,13,0.483,0
54,Dire,7107269660,43,0.5069,80,137,0.478,80,3,0.5108,80,41,0.4934,80,26,0.4536,80,100,0.4532,80,120,0.5021,80,86,0.4871,80,30,0.4677,80,109,0.4731,0
55,Dire,7107236510,69,0.4668,0,86,0.4871,80,51,0.476,0,109,0.4731,80,120,0.5021,0,58,0.4366,80,1,0.4769,80,9,0.5032,80,38,0.4791,80,106,0.4986,80
56,Radiant,7107206258,72,0.465,0,55,0.5498,80,99,0.4467,80,100,0.4532,63,106,0.4986,80,91,0.4988,72,43,0.5069,80,137,0.478,80,51,0.476,80,14,0.4912,0
57,Dire,7107204452,86,0.4871,0,69,0.4668,0,87,0.4985,0,35,0.4447,0,48,0.455,0,9,0.5032,0,110,0.4769,0,52,0.4611,0,2,0.5044,0,11,0.47,0
58,Dire,7107181645,100,0.4532,80,52,0.4611,80,75,0.5201,80,65,0.5134,80,89,0.5447,0,43,0.5069,80,137,0.478,80,136,0.4949,80,31,0.5104,80,41,0.4934,80
59,Radiant,7107148787,49,0.4291,80,79,0.4948,80,9,0.5032,80,70,0.4654,80,11,0.47,80,87,0.4985,80,98,0.4815,80,1,0.4769,80,85,0.5333,80,43,0.5069,80
60,Radiant,7107131367,87,0.4985,0,49,0.4291,0,128,0.4633,0,109,0.4731,0,43,0.5069,0,86,0.4871,0,9,0.5032,0,96,0.477,0,69,0.4668,0,59,0.5025,0
61,Dire,7107086104,55,0.5498,0,87,0.4985,63,137,0.478,80,98,0.4815,80,114,0.488,80,91,0.4988,72,1,0.4769,80,51,0.476,80,99,0.4467,80,49,0.4291,0
62,Radiant,7107044666,96,0.477,0,87,0.4985,0,10,0.4552,0,123,0.4535,0,22,0.4587,0,86,0.4871,0,129,0.4292,0,18,0.5174,0,30,0.4677,0,49,0.4291,0
63,Dire,7107041360,49,0.4291,80,101,0.5195,80,123,0.4535,80,77,0.4987,80,136,0.4949,80,85,0.5333,80,47,0.4961,80,1,0.4769,80,19,0.4524,80,29,0.4706,80
64,Radiant,7107021612,69,0.4668,80,86,0.4871,80,106,0.4986,80,110,0.4769,80,11,0.47,80,53,0.3884,80,87,0.4985,80,100,0.4532,80,36,0.4872,80,42,0.4442,80
65,Radiant,7106980837,78,0.5054,0,68,0.5128,44,8,0.4656,80,86,0.4871,80,107,0.4963,80,91,0.4988,80,137,0.478,80,61,0.4745,80,19,0.4524,72,18,0.5174,0
66,Radiant,7106941302,123,0.4535,0,129,0.4292,0,100,0.4532,0,17,0.4825,0,35,0.4447,0,86,0.4871,0,85,0.5333,0,23,0.5076,0,49,0.4291,0,10,0.4552,0
67,Radiant,7106931987,43,0.5069,80,51,0.476,80,58,0.4366,80,35,0.4447,80,60,0.4776,80,69,0.4668,80,10,0.4552,80,9,0.5032,80,79,0.4948,80,120,0.5021,80
68,Dire,7106922932,85,0.5333,80,69,0.4668,80,70,0.4654,80,76,0.492,80,9,0.5032,0,73,0.5131,80,58,0.4366,80,14,0.4912,80,25,0.4054,80,89,0.5447,80
69,Radiant,7106910989,58,0.4366,80,38,0.4791,80,13,0.483,80,119,0.4978,80,109,0.4731,80,65,0.5134,80,85,0.5333,80,123,0.4535,80,44,0.4469,80,16,0.4788,80
70,Dire,7106907597,49,0.4291,80,128,0.4633,80,58,0.4366,80,10,0.4552,80,65,0.5134,80,86,0.4871,80,43,0.5069,80,5,0.5139,80,109,0.4731,80,2,0.5044,80
71,Radiant,7106842899,69,0.4668,80,9,0.5032,80,135,0.5041,80,106,0.4986,80,48,0.455,80,87,0.4985,80,53,0.3884,80,19,0.4524,80,22,0.4587,80,42,0.4442,80
72,Dire,7106838521,51,0.476,80,128,0.4633,80,11,0.47,80,69,0.4668,80,49,0.4291,0,85,0.5333,80,61,0.4745,80,119,0.4978,80,106,0.4986,80,32,0.5282,80
73,Dire,7106766687,85,0.5333,0,8,0.4656,44,91,0.4988,80,30,0.4677,80,26,0.4536,80,77,0.4987,80,105,0.5084,74,31,0.5104,80,14,0.4912,80,75,0.5201,80
74,Dire,7106711893,49,0.4291,80,9,0.5032,0,75,0.5201,80,52,0.4611,80,109,0.4731,0,86,0.4871,80,69,0.4668,80,114,0.488,80,107,0.4963,80,53,0.3884,80
75,Radiant,7106706362,85,0.5333,80,106,0.4986,80,104,0.5435,80,105,0.5084,80,32,0.5282,0,100,0.4532,80,21,0.5318,80,23,0.5076,80,93,0.5257,80,128,0.4633,80
76,Dire,7106705755,106,0.4986,80,105,0.5084,80,75,0.5201,80,29,0.4706,80,10,0.4552,80,86,0.4871,80,65,0.5134,80,53,0.3884,80,51,0.476,0,73,0.5131,80
77,Dire,7106703700,49,0.4291,80,9,0.5032,80,85,0.5333,80,70,0.4654,80,65,0.5134,80,86,0.4871,80,69,0.4668,80,10,0.4552,80,79,0.4948,80,17,0.4825,80
78,Radiant,7106669131,9,0.5032,80,60,0.4776,80,128,0.4633,80,32,0.5282,0,33,0.4916,80,38,0.4791,80,86,0.4871,80,74,0.4702,80,87,0.4985,80,136,0.4949,80
79,Dire,7106657918,38,0.4791,0,9,0.5032,44,70,0.4654,80,86,0.4871,80,120,0.5021,80,85,0.5333,74,19,0.4524,80,97,0.4886,80,95,0.4754,80,105,0.5084,80
80,Radiant,7106613100,85,0.5333,80,74,0.4702,80,123,0.4535,80,114,0.488,80,96,0.477,80,135,0.5041,80,75,0.5201,80,100,0.4532,80,43,0.5069,80,93,0.5257,0
81,Radiant,7106596798,86,0.4871,80,69,0.4668,80,106,0.4986,80,64,0.508,80,109,0.4731,80,87,0.4985,80,100,0.4532,80,53,0.3884,80,49,0.4291,0,90,0.4996,80
82,Radiant,7106586165,87,0.4985,80,69,0.4668,80,107,0.4963,80,91,0.4988,80,15,0.4485,80,49,0.4291,80,9,0.5032,0,110,0.4769,80,52,0.4611,80,33,0.4916,0
83,Dire,7106563613,5,0.5139,0,9,0.5032,0,60,0.4776,0,11,0.47,0,120,0.5021,0,85,0.5333,0,101,0.5195,0,54,0.4602,0,28,0.4639,0,25,0.4054,0
84,Dire,7106552618,38,0.4791,80,86,0.4871,80,87,0.4985,80,10,0.4552,80,47,0.4961,80,69,0.4668,80,9,0.5032,80,79,0.4948,80,42,0.4442,0,49,0.4291,80
85,Radiant,7106547264,74,0.4702,80,51,0.476,80,5,0.5139,80,61,0.4745,80,114,0.488,80,69,0.4668,80,77,0.4987,80,86,0.4871,80,9,0.5032,80,18,0.5174,0
86,Radiant,7106544137,1,0.4769,80,86,0.4871,0,87,0.4985,0,53,0.3884,0,49,0.4291,0,51,0.476,0,75,0.5201,0,69,0.4668,0,92,0.4987,0,23,0.5076,80
87,Radiant,7106498597,86,0.4871,0,43,0.5069,0,38,0.4791,0,48,0.455,0,85,0.5333,0,5,0.5139,0,84,0.4835,0,11,0.47,0,110,0.4769,0,10,0.4552,0
88,Dire,7106497287,69,0.4668,80,9,0.5032,80,114,0.488,80,23,0.5076,80,128,0.4633,80,86,0.4871,80,89,0.5447,80,87,0.4985,80,120,0.5021,0,81,0.4813,80
89,Dire,7106488213,4,0.5148,0,31,0.5104,0,128,0.4633,0,108,0.5067,0,74,0.4702,80,77,0.4987,0,1,0.4769,80,45,0.5187,0,87,0.4985,0,106,0.4986,0
90,Dire,7106463166,85,0.5333,80,74,0.4702,80,54,0.4602,80,9,0.5032,80,49,0.4291,80,135,0.5041,80,75,0.5201,80,51,0.476,80,21,0.5318,80,70,0.4654,0
91,Radiant,7106432308,87,0.4985,0,112,0.534,0,16,0.4788,0,86,0.4871,0,62,0.5393,0,91,0.4988,0,38,0.4791,0,114,0.488,0,54,0.4602,0,22,0.4587,0
92,Radiant,7106414949,120,0.5021,0,75,0.5201,0,114,0.488,0,87,0.4985,0,19,0.4524,0,90,0.4996,0,111,0.5348,0,99,0.4467,0,9,0.5032,0,52,0.4611,0
93,Radiant,7106400611,19,0.4524,80,137,0.478,80,6,0.479,80,87,0.4985,80,97,0.4886,80,86,0.4871,80,43,0.5069,80,64,0.508,80,106,0.4986,0,35,0.4447,0
94,Dire,7106394396,128,0.4633,0,7,0.4996,80,120,0.5021,0,41,0.4934,0,28,0.4639,0,114,0.488,0,5,0.5139,0,1,0.4769,0,22,0.4587,0,19,0.4524,0
95,Radiant,7106379372,85,0.5333,80,69,0.4668,80,86,0.4871,0,76,0.492,0,109,0.4731,80,91,0.4988,0,17,0.4825,80,10,0.4552,0,3,0.5108,80,58,0.4366,0
96,Dire,7106379217,97,0.4886,0,119,0.4978,0,22,0.4587,0,70,0.4654,0,20,0.4463,0,86,0.4871,0,111,0.5348,0,104,0.5435,0,107,0.4963,0,73,0.5131,0
97,Radiant,7106370010,85,0.5333,80,120,0.5021,80,41,0.4934,80,47,0.4961,80,19,0.4524,80,86,0.4871,80,5,0.5139,80,135,0.5041,80,102,0.5033,80,74,0.4702,80
98,Dire,7106364984,87,0.4985,0,100,0.4532,0,49,0.4291,0,72,0.465,0,22,0.4587,0,136,0.4949,0,5,0.5139,0,120,0.5021,0,101,0.5195,0,128,0.4633,0
99,Dire,7106351487,58,0.4366,80,65,0.5134,80,86,0.4871,80,38,0.4791,80,11,0.47,80,43,0.5069,80,19,0.4524,80,120,0.5021,80,5,0.5139,0,35,0.4447,0
100,Radiant,7106345701,62,0.5393,0,123,0.4535,0,68,0.5128,0,89,0.5447,0,17,0.4825,0,85,0.5333,80,43,0.5069,0,11,0.47,0,51,0.476,0,19,0.4524,0
101,Radiant,7106334677,26,0.4536,0,87,0.4985,0,97,0.4886,0,105,0.5084,0,1,0.4769,0,86,0.4871,0,17,0.4825,0,92,0.4987,0,4,0.5148,0,101,0.5195,0
102,Dire,7106325920,31,0.5104,0,128,0.4633,0,16,0.4788,0,35,0.4447,0,86,0.4871,0,85,0.5333,0,123,0.4535,0,62,0.5393,0,76,0.492,0,10,0.4552,0
103,Dire,7106325408,100,0.4532,0,53,0.3884,80,49,0.4291,0,121,0.4826,80,70,0.4654,0,87,0.4985,80,120,0.5021,80,108,0.5067,0,123,0.4535,0,93,0.5257,80
104,Radiant,7106293270,89,0.5447,80,14,0.4912,80,75,0.5201,80,105,0.5084,80,2,0.5044,80,5,0.5139,80,106,0.4986,80,135,0.5041,80,86,0.4871,80,18,0.5174,80
105,Radiant,7106290010,119,0.4978,0,5,0.5139,0,96,0.477,0,106,0.4986,0,46,0.4813,0,86,0.4871,0,71,0.5155,0,85,0.5333,0,11,0.47,0,120,0.5021,0
106,Dire,7106287207,61,0.4745,80,86,0.4871,80,13,0.483,80,54,0.4602,0,85,0.5333,0,5,0.5139,80,137,0.478,80,19,0.4524,80,1,0.4769,80,33,0.4916,80
107,Radiant,7106282679,86,0.4871,0,129,0.4292,0,108,0.5067,0,31,0.5104,0,64,0.508,0,45,0.5187,0,9,0.5032,0,20,0.4463,0,41,0.4934,0,36,0.4872,0
108,Radiant,7106252642,5,0.5139,0,71,0.5155,0,81,0.4813,0,23,0.5076,0,109,0.4731,0,128,0.4633,0,137,0.478,0,19,0.4524,0,55,0.5498,0,89,0.5447,0
109,Dire,7106246584,31,0.5104,0,121,0.4826,0,32,0.5282,0,11,0.47,0,44,0.4469,0,19,0.4524,0,101,0.5195,0,135,0.5041,0,67,0.4781,0,43,0.5069,0
110,Dire,7106237209,76,0.492,80,89,0.5447,80,84,0.4835,80,58,0.4366,80,77,0.4987,80,86,0.4871,80,96,0.477,80,5,0.5139,80,70,0.4654,80,13,0.483,80
111,Dire,7106216453,112,0.534,0,26,0.4536,0,49,0.4291,0,10,0.4552,0,52,0.4611,0,97,0.4886,0,110,0.4769,0,81,0.4813,0,32,0.5282,0,42,0.4442,0
112,Radiant,7106203613,87,0.4985,0,69,0.4668,0,103,0.5634,0,128,0.4633,0,106,0.4986,0,26,0.4536,0,27,0.4896,0,129,0.4292,0,54,0.4602,0,39,0.5105,0
113,Dire,7106189699,83,0.5051,80,6,0.479,80,128,0.4633,80,16,0.4788,80,2,0.5044,80,85,0.5333,80,12,0.5014,80,120,0.5021,80,114,0.488,80,135,0.5041,80
114,Radiant,7106182500,53,0.3884,80,58,0.4366,80,7,0.4996,80,43,0.5069,80,98,0.4815,80,86,0.4871,80,106,0.4986,80,64,0.508,80,69,0.4668,80,81,0.4813,80
115,Radiant,7106176168,51,0.476,0,87,0.4985,0,38,0.4791,0,93,0.5257,0,109,0.4731,0,100,0.4532,0,43,0.5069,0,19,0.4524,0,23,0.5076,0,53,0.3884,0
116,Radiant,7106170878,75,0.5201,0,104,0.5435,0,68,0.5128,0,8,0.4656,0,17,0.4825,0,86,0.4871,0,30,0.4677,0,11,0.47,0,97,0.4886,0,21,0.5318,0
117,Dire,7106156934,87,0.4985,80,50,0.448,80,38,0.4791,80,70,0.4654,80,101,0.5195,80,89,0.5447,80,14,0.4912,80,64,0.508,80,47,0.4961,80,120,0.5021,80
118,Radiant,7106149812,58,0.4366,80,39,0.5105,80,78,0.5054,80,7,0.4996,80,12,0.5014,80,65,0.5134,80,100,0.4532,80,87,0.4985,80,46,0.4813,80,14,0.4912,80
119,Dire,7106146337,110,0.4769,0,4,0.5148,0,77,0.4987,0,62,0.5393,0,23,0.5076,0,128,0.4633,0,136,0.4949,0,9,0.5032,0,42,0.4442,0,13,0.483,0
120,Radiant,7106140270,9,0.5032,0,71,0.5155,0,128,0.4633,0,6,0.479,0,126,0.4822,0,31,0.5104,0,51,0.476,0,123,0.4535,0,46,0.4813,0,100,0.4532,0
121,Dire,7106116869,29,0.4706,0,69,0.4668,0,95,0.4754,0,62,0.5393,0,13,0.483,0,1,0.4769,0,87,0.4985,0,77,0.4987,0,21,0.5318,0,128,0.4633,0
122,Dire,7106114176,9,0.5032,0,64,0.508,0,44,0.4469,0,101,0.5195,0,129,0.4292,0,71,0.5155,0,21,0.5318,0,84,0.4835,0,46,0.4813,0,19,0.4524,0
123,Radiant,7106006076,69,0.4668,80,87,0.4985,80,11,0.47,0,33,0.4916,80,49,0.4291,0,86,0.4871,80,96,0.477,80,10,0.4552,80,83,0.5051,80,39,0.5105,80
124,Radiant,7105982792,87,0.4985,80,100,0.4532,80,128,0.4633,80,129,0.4292,80,95,0.4754,80,86,0.4871,0,108,0.5067,80,105,0.5084,80,81,0.4813,80,104,0.5435,80
125,Dire,7105966126,43,0.5069,80,107,0.4963,80,64,0.508,80,137,0.478,80,53,0.3884,80,114,0.488,80,120,0.5021,80,29,0.4706,80,85,0.5333,0,56,0.5183,0
126,Dire,7105951159,87,0.4985,0,137,0.478,80,123,0.4535,80,6,0.479,80,69,0.4668,80,86,0.4871,80,135,0.5041,80,100,0.4532,80,10,0.4552,80,84,0.4835,80
127,Radiant,7105943635,100,0.4532,0,86,0.4871,0,135,0.5041,0,62,0.5393,0,67,0.4781,0,19,0.4524,0,123,0.4535,0,43,0.5069,0,10,0.4552,0,120,0.5021,0
128,Radiant,7105919725,58,0.4366,80,137,0.478,80,128,0.4633,80,23,0.5076,80,46,0.4813,80,100,0.4532,0,51,0.476,80,9,0.5032,80,70,0.4654,80,114,0.488,80
129,Radiant,7105917080,100,0.4532,0,123,0.4535,0,49,0.4291,0,48,0.455,0,17,0.4825,0,86,0.4871,0,135,0.5041,0,107,0.4963,0,93,0.5257,0,114,0.488,0
130,Dire,7105908480,128,0.4633,80,51,0.476,80,74,0.4702,80,29,0.4706,80,11,0.47,80,86,0.4871,80,65,0.5134,80,73,0.5131,80,50,0.448,0,70,0.4654,80
131,Dire,7105878739,58,0.4366,80,137,0.478,80,128,0.4633,80,13,0.483,80,42,0.4442,80,100,0.4532,0,52,0.4611,80,41,0.4934,80,64,0.508,80,105,0.5084,80
132,Radiant,7105878319,30,0.4677,0,88,0.5006,0,97,0.4886,0,95,0.4754,0,8,0.4656,0,86,0.4871,0,64,0.508,0,137,0.478,0,35,0.4447,0,13,0.483,0
133,Dire,7105861033,123,0.4535,80,135,0.5041,0,114,0.488,80,72,0.465,80,32,0.5282,80,86,0.4871,80,120,0.5021,80,51,0.476,80,11,0.47,80,74,0.4702,80
134,Dire,7105848690,87,0.4985,44,55,0.5498,0,96,0.477,80,6,0.479,80,91,0.4988,80,38,0.4791,0,123,0.4535,80,70,0.4654,63,5,0.5139,80,23,0.5076,0
