,winner,id,pick1,taxavitoria1,rank1,pick2,taxavitoria2,rank2,pick3,taxavitoria3,rank3,pick4,taxavitoria4,rank4,pick5,taxavitoria5,rank5,pick6,taxavitoria6,rank6,pick7,taxavitoria7,rank7,pick8,taxavitoria8,rank8,pick9,taxavitoria9,rank9,pick10,taxavitoria10,rank10
15,radiant,7108399394,110,50.690000000000005,80,1,48.71,80,137,47.69,80,43,47.69,80,86,47.8,80,35,50.32,80,58,42.91,80,49,47.910000000000004,80,9,44.47,80,38,43.66,80
16,radiant,7108396296,137,50.32,75,9,50.690000000000005,80,43,47.8,80,62,53.93,75,109,47.31,75,17,48.71,73,10,47.910000000000004,75,86,43.66,75,58,45.519999999999996,73,38,48.25,75
17,dire,7108393736,69,48.71,80,96,47.699999999999996,80,13,50.8,80,64,46.68,80,86,48.3,80,51,49.85,80,109,48.15,80,98,47.31,80,87,47.599999999999994,80,36,48.72,80
18,radiant,7108389630,42,48.71,75,23,47.02,75,86,51.55,75,74,44.42,75,71,50.760000000000005,75,90,49.96,75,19,51.04,80,75,52.01,80,41,45.24,75,31,49.34,75
19,radiant,7108306227,85,46.68,80,44,53.33,80,120,50.21,80,69,49.78,80,119,44.690000000000005,80,87,49.85,80,33,47.69,80,17,49.88,80,91,48.25,80,1,49.16,80
20,dire,7108299098,9,53.33,80,38,47.02,80,18,51.739999999999995,80,85,50.32,80,74,47.910000000000004,80,53,38.84,80,70,47.599999999999994,80,51,49.85,80,120,46.54,80,87,50.21,80
21,dire,7108293489,46,46.33,80,128,45.24,80,69,46.68,80,13,48.13,80,19,48.3,80,51,49.85,80,109,47.31,80,52,47.599999999999994,80,87,47.699999999999996,80,96,46.11,80
22,dire,7108272061,1,47.69,80,137,50.8,80,39,49.78,80,64,47.8,80,119,51.05,80,123,47.449999999999996,80,19,45.35,80,61,52.56999999999999,80,93,53.33,80,85,45.24,80
23,radiant,7108263730,32,51.870000000000005,75,80,53.93,80,45,52.82,75,62,49.43,80,47,49.61,75,51,43.66,75,58,51.55,72,71,49.85,80,87,47.599999999999994,75,67,47.81,80
24,dire,7108258623,128,53.480000000000004,80,106,45.24,75,7,49.86,80,19,49.96,75,111,46.33,75,56,51.55,75,100,46.5,75,21,53.18000000000001,75,72,51.83,75,71,45.32,75
25,dire,7108193697,123,47.69,75,85,53.33,72,9,50.32,80,21,45.35,80,1,53.18000000000001,75,32,43.66,75,105,46.54,75,70,49.87,80,77,50.839999999999996,80,58,52.82,75
26,radiant,7108189493,109,46.68,80,69,47.69,80,49,49.85,80,110,47.31,80,87,42.91,80,137,48.71,80,67,49.87,80,75,47.8,80,92,52.01,80,86,47.81,80
27,radiant,7108183505,61,49.88,75,91,49.85,75,97,47.0,75,11,48.86,75,87,47.449999999999996,75,52,50.32,75,9,51.870000000000005,75,45,46.39,75,20,44.629999999999995,75,28,46.11,75
28,dire,7108181251,85,46.68,80,54,53.33,80,71,49.480000000000004,80,69,51.55,80,79,46.02,80,87,49.85,80,108,47.69,80,120,48.71,80,86,50.21,80,1,50.67,80
29,dire,7108178256,95,46.68,80,28,49.78,80,69,49.85,80,119,46.39,80,87,47.54,80,104,53.33,80,123,47.02,80,1,47.69,80,85,45.35,80,74,54.35,80
30,radiant,7108159996,40,47.69,80,1,50.8,80,49,49.78,80,64,42.91,80,119,51.92,80,51,47.449999999999996,80,32,49.85,80,61,47.599999999999994,80,114,52.82,80,87,48.8,80
31,radiant,7108131533,46,51.39,80,104,51.949999999999996,54,106,54.35,75,101,49.86,75,5,48.13,64,75,47.699999999999996,80,95,48.71,80,96,52.01,45,74,47.54,62,86,47.02,75
32,dire,7108130205,106,51.870000000000005,75,71,46.39,75,63,51.55,75,45,48.55,75,28,49.86,75,91,50.41,75,11,44.629999999999995,75,69,49.88,75,20,47.0,75,135,46.68,75
33,dire,7108108199,96,45.35,80,105,50.32,71,114,47.699999999999996,75,9,50.839999999999996,72,123,48.8,75,86,48.71,75,1,47.69,80,135,50.41,75,129,53.33,80,85,42.92,75
34,dire,7108107553,102,48.71,80,69,46.68,80,65,43.66,80,58,51.339999999999996,80,86,50.33,80,137,48.8,80,114,49.87,80,5,47.8,80,70,51.39,80,92,46.54,80
35,dire,7108089461,69,46.68,80,14,49.86,80,128,46.33,80,87,49.85,80,106,49.120000000000005,80,85,47.02,80,10,53.33,80,74,49.78,80,119,45.519999999999996,80,51,47.599999999999994,80
36,dire,7108078459,106,49.85,62,87,51.949999999999996,80,42,48.13,80,81,44.42,45,101,49.86,75,114,51.39,75,49,47.0,80,11,48.8,75,71,51.55,54,5,42.91,64
37,radiant,7108073860,9,49.86,80,106,50.32,80,6,53.93,80,40,47.9,80,62,51.92,80,70,49.85,80,77,49.87,80,43,50.690000000000005,80,87,49.78,80,119,46.54,80
38,dire,7108061130,64,50.8,75,92,49.88,75,99,44.67,75,67,47.81,75,91,49.87,75,46,51.04,75,14,44.629999999999995,75,20,49.120000000000005,75,31,46.39,75,28,48.13,75
39,radiant,7108024996,61,47.449999999999996,75,53,49.85,80,123,45.35,75,38,38.84,80,87,47.910000000000004,75,114,48.71,75,86,48.8,80,64,50.8,75,32,52.82,75,89,54.47,75
40,dire,7108016508,32,53.33,54,12,46.68,80,69,52.82,75,22,45.87,75,85,50.13999999999999,64,86,49.85,75,87,48.71,80,13,51.55,62,46,48.13,80,71,48.3,45
41,radiant,7107443140,9,45.24,80,93,50.32,80,19,50.51,75,120,52.56999999999999,80,83,50.21,80,38,43.66,80,49,47.910000000000004,80,137,47.8,80,81,42.91,80,58,48.13,80
42,dire,7107432346,12,45.32,80,43,50.690000000000005,80,108,43.66,80,100,50.67,80,58,50.13999999999999,80,51,48.8,80,52,47.31,80,114,46.11,80,39,47.599999999999994,80,109,51.05,80
43,radiant,7107429125,58,43.66,75,23,42.91,75,49,49.85,75,59,50.24999999999999,75,87,50.760000000000005,75,86,48.71,75,100,47.06,75,9,50.32,75,77,49.87,75,29,45.32,75
44,radiant,7107412596,123,50.8,80,64,42.91,63,19,45.35,63,95,45.24,80,49,47.54,80,53,38.84,80,105,50.839999999999996,45,17,46.5,75,72,48.25,80,70,46.54,80
45,dire,7107391072,86,50.8,75,100,47.06,75,56,45.32,75,29,51.83,75,64,48.71,75,128,49.85,75,96,47.699999999999996,75,14,49.120000000000005,75,19,46.33,75,87,45.24,75
46,dire,7107381422,76,43.66,80,54,46.11,80,52,45.32,80,100,46.02,80,58,49.2,80,9,49.86,80,93,50.32,80,43,53.33,75,106,50.690000000000005,80,85,52.56999999999999,80
47,dire,7107367164,33,43.66,80,17,49.16,75,58,49.120000000000005,80,1,48.25,80,14,47.69,45,5,50.32,63,9,42.91,80,120,51.39,63,44,50.21,80,49,44.690000000000005,80
48,dire,7107349124,33,45.35,75,123,50.32,75,52,49.16,75,95,47.54,75,9,46.11,75,49,46.77,75,86,48.71,75,12,42.91,75,106,50.13999999999999,75,30,49.86,75
49,radiant,7107348826,58,45.32,80,120,50.21,80,17,43.66,80,109,47.31,80,100,48.25,80,43,50.690000000000005,80,136,49.86,80,106,49.49,80,31,51.04,80,114,48.8,80
50,radiant,7107328578,49,46.77,75,86,48.71,75,12,42.91,75,106,50.13999999999999,75,30,49.86,75,33,45.35,75,123,50.32,75,52,49.16,75,9,47.54,75,95,46.11,75
51,dire,7107315978,107,49.85,80,87,49.16,63,34,49.63,63,70,46.54,80,33,54.230000000000004,80,104,53.33,80,105,50.839999999999996,45,11,47.0,80,85,54.35,80,17,48.25,75
52,dire,7107310732,85,49.85,80,53,38.84,80,87,50.21,80,120,53.33,80,11,47.0,80,64,45.32,80,137,50.690000000000005,80,43,50.8,80,100,47.8,80,12,50.13999999999999,80
53,dire,7107275897,104,48.71,75,17,50.32,75,106,54.35,75,86,49.86,75,9,48.25,75,97,48.26,75,121,52.01,75,13,46.54,75,75,48.86,75,70,48.3,75
54,dire,7107269660,137,50.690000000000005,80,26,47.8,80,43,51.080000000000005,80,3,49.34,80,41,45.36,80,30,45.32,80,120,50.21,80,100,48.71,80,86,46.77,80,109,47.31,80
55,dire,7107236510,51,46.68,80,109,48.71,80,86,47.599999999999994,80,69,47.31,80,120,50.21,80,58,43.66,80,38,47.69,80,106,50.32,80,9,47.910000000000004,80,1,49.86,80
56,radiant,7107206258,106,46.5,80,55,54.98,80,100,44.67,80,99,45.32,80,72,49.86,80,137,49.88,72,91,50.690000000000005,80,14,47.8,80,43,47.599999999999994,80,51,49.120000000000005,75
57,dire,7107204452,35,48.71,75,69,46.68,75,86,49.85,75,48,44.47,75,87,45.5,75,52,50.32,75,110,47.69,75,11,46.11,75,2,50.44,75,9,47.0,75
58,dire,7107181645,75,45.32,80,52,46.11,80,65,52.01,80,100,51.339999999999996,80,89,54.47,80,137,50.690000000000005,80,136,47.8,80,43,49.49,80,31,51.04,80,41,49.34,80
59,radiant,7107148787,11,42.91,80,70,49.480000000000004,80,49,50.32,80,79,46.54,80,9,47.0,80,85,49.85,80,98,48.15,80,43,47.69,80,1,53.33,80,87,50.690000000000005,80
60,radiant,7107131367,49,49.85,75,128,42.91,75,109,46.33,75,87,47.31,75,43,50.690000000000005,75,69,48.71,75,86,50.32,75,59,47.699999999999996,75,96,46.68,75,9,50.24999999999999,75
61,dire,7107086104,98,54.98,80,114,49.85,80,55,47.8,80,87,48.15,80,137,48.8,80,99,49.88,72,91,47.69,80,1,47.599999999999994,80,49,44.67,80,51,42.91,75
62,radiant,7107044666,10,47.699999999999996,75,123,49.85,75,87,45.519999999999996,75,22,45.35,75,96,45.87,75,18,48.71,75,129,42.92,75,49,51.739999999999995,75,30,46.77,75,86,42.91,75
63,dire,7107041360,49,42.91,80,136,51.949999999999996,80,77,45.35,80,101,49.87,80,123,49.49,80,85,53.33,80,29,49.61,80,47,47.69,80,19,45.24,80,1,47.06,80
64,radiant,7107021612,110,46.68,80,11,48.71,80,69,49.86,80,106,47.69,80,86,47.0,80,42,38.84,80,53,49.85,80,36,45.32,75,87,48.72,80,100,44.42,80
65,radiant,7106980837,107,50.54,80,8,51.28,53,78,46.56,80,68,48.71,80,86,49.63,80,91,49.88,80,61,47.8,80,18,47.449999999999996,80,137,45.24,72,19,51.739999999999995,75
66,radiant,7106941302,35,45.35,75,123,42.92,75,17,45.32,75,100,48.25,75,129,44.47,75,10,48.71,75,86,53.33,75,23,50.760000000000005,75,85,42.91,75,49,45.519999999999996,75
67,radiant,7106931987,58,50.690000000000005,80,60,47.599999999999994,80,51,43.66,80,35,44.47,80,43,47.760000000000005,80,10,46.68,80,79,45.519999999999996,80,120,50.32,80,9,49.480000000000004,80,69,50.21,80
68,dire,7106922932,69,53.33,80,76,46.68,80,70,46.54,80,9,49.2,80,85,50.32,80,89,51.31,80,73,43.66,80,14,49.120000000000005,80,58,40.54,80,25,54.47,80
69,radiant,7106910989,58,43.66,80,13,47.910000000000004,80,38,48.3,80,109,49.78,80,119,47.31,80,44,51.339999999999996,80,65,53.33,75,16,45.35,80,85,44.690000000000005,80,123,47.88,80
70,dire,7106907597,58,42.91,80,65,46.33,80,49,43.66,80,10,45.519999999999996,80,128,51.339999999999996,80,43,48.71,80,109,50.690000000000005,80,86,51.39,80,5,47.31,80,2,50.44,80
71,radiant,7106842899,135,46.68,80,106,50.32,80,9,50.41,80,48,49.86,80,69,45.5,80,87,49.85,80,42,38.84,80,22,45.24,80,19,45.87,80,53,44.42,80
72,dire,7106838521,11,47.599999999999994,80,69,46.33,80,49,47.0,80,128,46.68,80,51,42.91,80,85,53.33,80,61,47.449999999999996,80,32,49.78,80,119,49.86,80,106,52.82,80
73,dire,7106766687,91,53.33,80,8,46.56,53,85,49.88,80,26,46.77,80,30,45.36,80,75,49.87,80,31,50.839999999999996,74,77,51.04,80,105,49.120000000000005,80,14,52.01,80
74,dire,7106711893,52,42.91,80,109,50.32,80,75,52.01,80,49,46.11,80,9,47.31,80,114,48.71,80,53,46.68,80,69,48.8,80,86,49.63,80,107,38.84,80
75,radiant,7106706362,106,53.33,80,32,49.86,80,104,54.35,80,105,50.839999999999996,80,85,52.82,80,21,45.32,80,93,53.18000000000001,80,128,50.760000000000005,80,23,52.56999999999999,80,100,46.33,80
76,dire,7106705755,10,49.86,80,106,50.839999999999996,80,75,52.01,72,29,47.06,80,105,45.519999999999996,80,73,48.71,80,86,51.339999999999996,80,53,38.84,80,51,47.599999999999994,80,65,51.31,80
77,dire,7106703700,70,42.91,80,49,50.32,80,85,53.33,80,9,46.54,80,65,51.339999999999996,80,79,48.71,80,10,46.68,80,17,45.519999999999996,80,86,49.480000000000004,80,69,48.25,80
78,radiant,7106669131,9,50.32,80,60,47.760000000000005,80,32,46.33,80,33,52.82,80,128,49.16,80,74,47.910000000000004,80,86,48.71,80,87,47.02,80,38,49.85,80,136,49.49,80
79,dire,7106657918,120,47.910000000000004,80,70,50.32,53,38,46.54,80,86,48.71,80,9,50.21,80,85,53.33,74,19,45.24,80,97,48.86,80,105,47.54,80,95,50.839999999999996,80
80,radiant,7106613100,114,53.33,80,123,47.02,80,85,45.35,80,96,48.8,80,74,47.699999999999996,80,135,50.41,80,93,52.01,80,43,45.32,80,100,50.690000000000005,80,75,52.56999999999999,80
81,radiant,7106596798,86,48.71,80,106,46.68,80,109,49.86,80,64,50.8,72,69,47.31,80,53,49.85,80,100,45.32,80,49,38.84,80,87,42.91,80,90,49.96,80
82,radiant,7106586165,91,49.85,80,87,46.68,80,69,49.63,80,15,49.88,80,107,44.85,80,110,42.91,80,49,50.32,80,33,47.69,80,52,46.11,80,9,49.16,80
83,dire,7106563613,9,51.39,80,120,50.32,75,60,47.760000000000005,75,11,47.0,75,5,50.21,75,25,53.33,75,54,51.949999999999996,80,85,46.02,64,28,46.39,54,101,40.54,75
84,dire,7106552618,47,47.910000000000004,80,86,48.71,80,87,49.85,80,38,45.519999999999996,80,10,49.61,80,9,46.68,80,42,50.32,80,49,49.480000000000004,80,69,44.42,80,79,42.91,80
85,radiant,7106547264,5,47.02,80,114,47.599999999999994,80,61,51.39,80,51,47.449999999999996,80,74,48.8,80,69,46.68,80,18,49.87,80,77,48.71,80,86,50.32,80,9,51.739999999999995,80
86,radiant,7106544137,53,47.69,80,49,48.71,73,1,49.85,80,86,38.84,75,87,42.91,75,92,47.599999999999994,80,69,52.01,75,51,46.68,75,75,49.87,75,23,50.760000000000005,80
87,radiant,7106498597,48,48.71,80,85,50.690000000000005,64,38,47.910000000000004,54,86,45.5,75,43,53.33,75,84,51.39,75,110,48.35,80,5,47.0,75,10,47.69,75,11,45.519999999999996,75
88,dire,7106497287,9,46.68,72,23,50.32,80,114,48.8,80,69,50.760000000000005,80,128,46.33,80,81,48.71,80,87,54.47,80,89,49.85,80,86,50.21,80,120,48.13,80
89,dire,7106488213,108,51.480000000000004,80,4,51.04,75,128,46.33,75,31,50.67,75,74,47.02,80,106,49.87,73,77,47.69,80,45,51.870000000000005,75,1,49.85,80,87,49.86,75
90,dire,7106463166,9,53.33,80,54,47.02,80,49,46.02,80,85,50.32,80,74,42.91,80,21,50.41,80,70,52.01,80,135,47.599999999999994,80,51,53.18000000000001,80,75,46.54,80
91,radiant,7106432308,62,49.85,75,16,53.400000000000006,75,112,47.88,80,87,48.71,75,86,53.93,75,91,49.88,64,22,47.910000000000004,75,114,48.8,75,38,46.02,54,54,45.87,80
92,radiant,7106414949,19,50.21,75,114,52.01,75,120,48.8,75,75,49.85,75,87,45.24,75,52,49.96,80,99,53.480000000000004,75,9,44.67,80,90,50.32,75,111,46.11,75
93,radiant,7106400611,87,45.24,80,137,47.8,80,97,47.9,80,19,49.85,80,6,48.86,80,35,48.71,80,106,50.690000000000005,80,43,50.8,80,86,49.86,80,64,44.47,80
94,dire,7106394396,41,46.33,73,28,49.96,80,128,50.21,75,120,49.34,73,7,46.39,75,22,48.8,80,1,51.39,75,114,47.69,75,5,45.87,75,19,45.24,75
95,radiant,7106379372,85,53.33,80,109,46.68,80,69,48.71,80,86,49.2,80,76,47.31,80,3,49.88,80,58,48.25,80,17,45.519999999999996,80,91,51.080000000000005,80,10,43.66,80
96,dire,7106379217,20,48.86,80,70,49.78,80,97,45.87,45,119,46.54,75,22,44.629999999999995,62,111,48.71,80,104,53.480000000000004,71,86,54.35,80,107,49.63,75,73,51.31,75
97,radiant,7106370010,85,53.33,80,19,50.21,80,41,49.34,80,47,49.61,80,120,45.24,80,135,48.71,80,102,51.39,80,74,50.41,80,86,50.33,80,5,47.02,80
98,dire,7106364984,22,49.85,80,72,45.32,75,49,42.91,75,87,46.5,75,100,45.87,80,101,49.49,75,128,51.39,75,136,50.21,75,5,51.949999999999996,75,120,46.33,75
99,dire,7106351487,58,43.66,80,65,51.339999999999996,80,38,48.71,80,86,47.910000000000004,80,11,47.0,80,35,50.690000000000005,80,120,45.24,80,43,50.21,80,19,51.39,80,5,44.47,80
100,radiant,7106345701,62,53.93,75,89,45.35,75,68,51.28,75,123,54.47,80,17,48.25,75,43,53.33,80,85,50.690000000000005,75,51,47.0,75,11,47.599999999999994,73,19,45.24,73
101,radiant,7106334677,26,45.36,80,105,49.85,75,87,48.86,80,97,50.839999999999996,71,1,47.69,75,86,48.71,80,92,48.25,80,17,49.87,62,101,51.480000000000004,75,4,51.949999999999996,45
102,dire,7106325920,86,51.04,75,128,46.33,75,31,47.88,75,35,44.47,75,16,48.71,75,76,53.33,75,62,45.35,80,10,53.93,75,85,49.2,80,123,45.519999999999996,75
103,dire,7106325408,121,45.32,80,53,38.84,80,49,42.91,80,100,48.26,80,70,46.54,80,87,49.85,80,93,50.21,80,108,50.67,80,123,45.35,80,120,52.56999999999999,80
104,radiant,7106293270,105,54.47,80,75,49.120000000000005,80,89,52.01,80,14,50.839999999999996,80,2,50.44,80,135,51.39,80,5,49.86,80,106,50.41,80,18,48.71,80,86,51.739999999999995,80
105,radiant,7106290010,96,49.78,45,119,51.39,75,5,47.699999999999996,80,106,49.86,62,46,48.13,80,86,48.71,80,120,51.55,75,85,53.33,80,71,47.0,71,11,50.21,75
106,dire,7106287207,54,47.449999999999996,80,13,48.71,80,61,48.3,80,86,46.02,80,85,53.33,80,5,51.39,80,137,47.8,80,33,45.24,80,19,47.69,80,1,49.16,80
107,radiant,7106282679,129,48.71,80,64,42.92,75,86,50.67,75,108,51.04,75,31,50.8,80,45,51.870000000000005,75,20,50.32,75,41,44.629999999999995,75,36,49.34,75,9,48.72,75
108,radiant,7106252642,81,51.39,80,23,51.55,80,109,48.13,80,5,50.760000000000005,80,71,47.31,75,89,46.33,75,55,47.8,80,137,45.24,75,128,54.98,75,19,54.47,80
109,dire,7106246584,11,51.04,75,31,48.26,75,121,52.82,52,44,47.0,80,32,44.690000000000005,80,43,45.24,75,19,51.949999999999996,75,67,50.41,75,135,47.81,75,101,50.690000000000005,75
110,dire,7106237209,84,49.2,80,89,54.47,80,77,48.35,80,58,43.66,80,76,49.87,80,96,48.71,80,5,47.699999999999996,80,13,51.39,80,86,46.54,80,70,48.3,80
111,dire,7106216453,52,53.400000000000006,80,26,45.36,75,10,42.91,75,49,45.519999999999996,80,112,46.11,75,81,48.86,80,32,47.69,80,97,48.13,80,110,52.82,75,42,44.42,80
112,radiant,7106203613,106,49.85,75,128,46.68,75,103,56.34,75,87,46.33,75,69,49.86,75,39,45.36,75,26,48.96,52,27,42.92,75,129,46.02,80,54,51.05,80
113,dire,7106189699,2,50.51,80,83,47.9,80,16,46.33,80,128,47.88,80,6,50.44,80,85,53.33,80,135,50.13999999999999,80,114,50.21,80,120,48.8,80,12,50.41,80
114,radiant,7106176168,93,47.599999999999994,80,87,49.85,80,38,47.910000000000004,75,51,52.56999999999999,80,109,47.31,43,43,45.32,75,23,50.690000000000005,75,19,45.24,80,53,50.760000000000005,80,100,38.84,73
115,radiant,7106170878,75,52.01,52,17,54.35,75,68,51.28,75,8,46.56,80,104,48.25,80,21,48.71,75,30,46.77,75,97,47.0,75,86,48.86,75,11,53.18000000000001,75
116,dire,7106146337,4,47.69,80,110,51.480000000000004,80,23,49.87,75,77,53.93,75,62,50.760000000000005,73,136,46.33,80,9,49.49,80,128,50.32,75,42,44.42,43,13,48.3,80
117,radiant,7106140270,126,50.32,75,6,51.55,75,128,46.33,75,9,47.9,75,71,48.22,75,100,51.04,75,31,47.599999999999994,75,51,45.35,75,46,48.13,75,123,45.32,75
118,dire,7106116869,62,47.06,75,29,46.68,80,69,47.54,80,95,53.93,43,13,48.3,80,1,47.69,80,87,49.85,80,77,49.87,75,128,53.18000000000001,75,21,46.33,73
119,dire,7106114176,9,50.32,75,44,50.8,75,129,44.690000000000005,75,64,51.949999999999996,75,101,42.92,75,19,51.55,75,84,53.18000000000001,75,21,48.35,75,46,48.13,75,71,45.24,75
120,radiant,7106006076,87,46.68,80,69,49.85,80,49,47.0,80,11,49.16,80,33,42.91,80,10,48.71,80,39,47.699999999999996,80,96,45.519999999999996,80,86,50.51,80,83,51.05,80
121,radiant,7105982792,129,49.85,80,128,45.32,80,87,46.33,80,100,42.92,80,95,47.54,75,108,48.71,80,105,50.67,80,81,50.839999999999996,80,86,48.13,80,104,54.35,80
122,dire,7105966126,53,50.690000000000005,80,137,49.63,80,43,50.8,80,107,47.8,80,64,38.84,80,85,48.8,80,56,50.21,80,114,47.06,80,120,53.33,80,29,51.83,80
123,dire,7105951159,69,49.85,80,6,47.8,80,87,45.35,80,123,47.9,80,137,46.68,80,100,48.71,80,135,50.41,80,84,45.32,80,86,45.519999999999996,80,10,48.35,75
124,radiant,7105943635,86,45.32,75,100,48.71,75,67,50.41,75,135,53.93,75,62,47.81,75,19,45.24,75,120,45.35,75,10,50.690000000000005,75,123,45.519999999999996,75,43,50.21,75
125,radiant,7105919725,46,43.66,80,23,47.8,80,128,46.33,80,137,50.760000000000005,80,58,48.13,80,51,45.32,80,114,47.599999999999994,80,100,50.32,80,9,46.54,80,70,48.8,80
126,radiant,7105917080,100,45.32,75,17,45.35,75,48,42.91,75,49,45.5,75,123,48.25,75,86,48.71,75,107,50.41,75,114,49.63,75,93,52.56999999999999,75,135,48.8,75
127,dire,7105908480,128,46.33,80,29,47.599999999999994,80,51,47.02,80,74,47.06,80,11,47.0,80,70,48.71,80,73,51.339999999999996,80,65,51.31,80,86,44.800000000000004,80,50,46.54,80
128,dire,7105878739,42,43.66,80,13,47.8,80,128,46.33,80,137,48.3,80,58,44.42,80,64,45.32,80,100,46.11,80,52,49.34,80,105,50.8,80,41,50.839999999999996,80
129,radiant,7105878319,97,46.77,75,95,50.06,75,8,48.86,75,88,47.54,75,30,46.56,75,137,48.71,75,35,50.8,75,86,47.8,75,13,44.47,75,64,48.3,75
130,dire,7105861033,114,45.35,80,123,50.41,80,135,48.8,80,32,46.5,80,72,52.82,80,51,48.71,80,120,50.21,80,86,47.599999999999994,80,74,47.0,80,11,47.02,80
131,dire,7105848690,6,49.85,53,91,54.98,80,55,47.699999999999996,80,87,47.9,80,96,49.88,80,5,47.910000000000004,63,123,45.35,80,23,46.54,63,70,51.39,80,38,50.760000000000005,80
132,dire,7105818726,33,49.480000000000004,75,22,50.8,54,64,49.16,45,93,52.56999999999999,52,79,45.87,75,137,48.71,75,86,52.01,75,48,47.8,75,77,45.5,75,75,49.87,75
133,dire,7105809825,87,46.68,80,69,49.85,80,123,45.35,80,13,48.3,80,41,49.34,80,114,48.71,80,100,48.8,80,135,45.32,80,86,46.5,80,72,50.41,80
134,dire,7105804352,85,48.71,80,19,53.33,80,86,45.24,80,15,47.9,80,6,44.85,80,54,45.32,80,100,49.16,80,33,47.8,80,137,43.66,80,58,46.02,80
135,dire,7105783526,70,49.88,53,91,46.54,80,96,51.04,80,34,47.699999999999996,80,31,54.230000000000004,80,123,49.85,80,87,47.760000000000005,63,22,45.35,63,102,50.33,80,60,45.87,80
136,radiant,7105754278,86,50.32,75,103,56.34,75,6,42.91,75,9,47.9,75,49,48.71,75,7,49.85,54,123,45.35,45,93,50.690000000000005,52,43,52.56999999999999,75,87,49.96,75
137,radiant,7105687762,93,50.32,80,106,42.91,80,49,46.33,80,9,49.86,80,128,52.56999999999999,80,10,47.599999999999994,80,17,50.33,80,102,46.77,80,51,48.25,80,30,45.519999999999996,80
138,dire,7103785428,1,47.69,80,87,49.85,80,128,45.24,80,19,51.339999999999996,63,65,46.33,80,58,49.88,80,13,46.54,80,93,43.66,80,91,48.3,80,70,52.56999999999999,80
139,radiant,7103778252,106,47.69,75,1,53.33,80,62,50.839999999999996,80,105,49.86,75,85,53.93,75,95,48.71,75,86,50.690000000000005,80,43,47.599999999999994,75,51,48.3,75,13,47.54,75
